Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,316.35,332.81,329.57,356.25,355.42,351.68,399.49,491.13,534.30,506.97,541.93,449.50,449.40,424.34,486.90,543.30,560.39,638.49,643.99,690.91,718.20,764.43,845.50,962.10,1068.43,1228.43,1330.98,1757.19,1828.15,1819.20,2258.19,2563.26,2538.95,2472.72,2652.23,2752.63,2930.57,3286.60,3243.48,3322.86,3000.78
Botswana,BWA,60.49,64.18,68.05,71.11,75.96,81.77,89.98,100.41,110.98,126.55,153.33,197.19,246.54,353.86,428.20,479.09,483.14,564.13,709.19,947.76,1181.61,1154.18,1054.06,1176.82,1202.98,1042.24,1253.56,1701.68,2203.65,2477.98,2945.83,2972.73,3040.99,2973.38,2970.12,3219.91,3221.69,3258.98,3039.96,3405.82,3522.31,3278.02,3190.62,4330.97,5073.52,5513.33,5521.99,5832.74,5713.54,5255.78,6434.81,7617.31,7050.57,7224.91,7495.22,6402.91,6982.92,7296.09,7503.88,7203.06,6404.90
Central African Republic,CAF,74.69,80.69,80.21,81.92,88.29,91.83,94.40,95.90,109.95,105.71,104.41,109.45,123.31,143.12,146.23,193.35,225.91,248.69,292.47,327.34,362.40,306.83,320.43,273.50,257.35,340.20,432.01,453.75,469.53,449.40,513.30,478.50,477.12,419.80,271.51,346.11,304.63,276.42,278.33,280.91,251.21,250.36,260.75,293.66,320.74,331.16,354.67,404.37,464.56,474.71,488.42,551.75,565.80,380.30,424.45,377.42,402.19,450.90,475.95,467.91,492.80
Canada,CAN,2259.29,2240.43,2268.59,2374.50,2555.11,2770.36,3047.11,3217.16,3462.68,3763.95,4121.93,4520.16,5089.59,5838.66,7033.01,7511.21,8809.26,8919.06,9123.69,10043.66,11170.56,12337.47,12481.87,13425.12,13877.92,14114.81,14461.07,16308.97,18936.96,20715.63,21448.36,21768.34,20879.85,20121.16,19935.38,20613.79,21227.35,21901.56,21024.59,22315.25,24271.00,23822.06,24255.34,28300.46,32143.68,36382.51,40504.06,44659.90,46710.51,40876.31,47562.08,52223.70,52669.09,52635.17,50956.00,43596.14,42315.60,45129.36,46548.52,46338.34,43294.65
Central Europe and the Baltics,CEB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2314.69,2197.25,2360.95,2491.01,2826.24,3580.35,3795.83,3747.76,4108.45,3988.25,3948.76,4354.43,4938.54,5946.46,7176.70,8362.98,9481.36,12019.83,14593.25,12312.38,12622.26,13910.48,13020.83,13717.71,14161.39,12521.79,12829.90,14248.75,16045.95,16346.55,16168.20
Switzerland,CHE,1787.36,1971.32,2131.39,2294.18,2501.29,2620.48,2784.73,2960.72,3121.89,3344.78,null,null,null,null,null,null,null,null,null,null,19410.19,17679.87,18015.11,17874.25,17005.53,17166.52,24480.42,30466.11,32717.92,31334.98,39607.82,39577.75,40747.93,39270.11,43128.01,50155.97,48144.58,41631.44,42740.13,41786.23,38952.03,39727.85,42578.76,49470.40,54878.47,56546.79,59300.62,65359.52,74572.23,72083.17,77117.13,91254.03,86547.67,88109.49,89684.71,84776.14,83073.28,83352.09,86388.40,85334.52,87097.04
Channel Islands,CHI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40584.83,42444.01,43382.83,41804.37,44545.92,48858.83,56751.13,58198.98,63243.37,74458.79,null,null,null,null,null,null,null,null,null,null,null,null,null
Chile,CHL,505.35,555.13,638.95,655.25,678.13,670.40,772.73,753.13,756.91,870.32,932.86,1094.68,1173.22,1640.03,1554.39,719.60,961.42,1278.33,1441.94,1937.27,2542.76,2979.61,2156.51,1709.44,1624.63,1444.28,1517.86,1760.31,2026.84,2288.55,2494.53,2803.56,3350.21,3535.17,4024.22,5107.28,5349.81,5745.37,5446.58,4957.78,5074.90,4574.59,4446.25,4772.56,6194.85,7598.53,9464.55,10502.35,10751.48,10208.91,12808.04,14637.23,15351.54,15842.94,14670.99,13574.17,13753.59,14998.82,15888.14,14741.71,13231.70
China,CHN,89.52,75.81,70.91,74.31,85.50,98.49,104.32,96.59,91.47,100.13,113.16,118.65,131.88,157.09,160.14,178.34,165.41,185.42,156.40,183.98,194.80,197.07,203.33,225.43,250.71,294.46,281.93,251.81,283.54,310.88,317.88,333.14,366.46,377.39,473.49,609.66,709.41,781.74,828.58,873.29,959.37,1053.11,1148.51,1288.64,1508.67,1753.42,2099.23,2693.97,3468.30,3832.24,4550.45,5614.35,6300.62,7020.34,7636.12,8016.43,8094.36,8816.99,9905.34,10143.84,10434.78
Cote d'Ivoire,CIV,155.90,170.24,171.13,194.21,226.23,217.60,233.61,238.31,271.85,277.97,285.27,297.28,331.67,429.41,501.55,607.24,694.38,891.63,1074.86,1189.57,1266.62,1004.63,863.33,747.76,717.90,703.52,888.53,942.93,924.33,848.29,905.32,848.75,870.48,832.28,605.26,774.67,1232.25,1192.78,1258.52,1177.04,1007.47,997.48,1047.75,1207.51,1308.29,1309.59,1347.99,1500.17,1738.19,1689.34,1701.48,1744.94,1684.78,1935.95,2156.65,1972.55,2013.38,2111.03,2314.05,2276.33,2325.72
